""	0
University of Michigan head coach	6618
University of Minnesota	6619
University of Mississippi at Oxford	6620
University of Missouri	6621
University of Missouri-St. Louis	6622
University of New England	6623
University of North Carolina at Chapel Hill	6624
University of Notre Dame	6625
University of Oxford	6626
University of Padua	6627
University of Paris	6628
University of Pennsylvania	6629
University of Pittsburgh	6630
University of Richmond	6631
University of San Francisco	6632
University of Southampton	6633
University of Southern California	6634
University of Southern Maine	6635
University of Sunderland	6636
University of Texas	6637
University of Toronto	6638
University of Ulster	6639
University of Utah	6640
University of Victoria	6641
University of Virginia	6642
University of Virginia School of Law	6643
University of Warsaw	6644
University of Washington	6645
University of Western Sydney	6646
University of Würzburg	6647
University of the Witwatersrand	6648
Université Laval	6649
Unnamed investors represented by Kiavash "Kia" Joorabchian	6650
Uriah Heep	6651
Ursula K. Le Guin's fiction	6652
Use of sandstone rock features	6653
Usman dan Fodio	6654
Usman dan Fodio in Sokoto	6655
Utah	6656
Utah State	6657
Uzbek-born	6658
VFL	6659
Vagos Motorcycle Club	6660
Valencia	6661
Valencia CF	6662
Valley of the Kings	6663
Vancouver	6664
Vancouver Film Festival	6665
Vecchio con gli Stivali	6666
Velocette	6667
Vendemmia Award	6668
Venezuelan	6669
Venezuelan-American	6670
Vera Farmiga	6671
Vera Lynn	6672
Versace	6673
Verviers-Pepinster in Belgium	6674
Vice President and Assistant General Counsel for Intellectual Property Law at IBM	6675
Vice President of Business Affairs of the PGA Tour	6676
Vice President of Marketing	6677
Vice President of Player Personnel for the Indianapolis Colts	6678
Vice President of Player Personnel for the Phoenix Cardinals	6679
Vice President of the United States	6680
Vice-Chairman of the Community Safety Partnership	6681
Vice-Chairman of the Local Strategic Partnership	6682
Victor Hugo	6683
Victoria	6684
Victoria Cross	6685
Victoria's Wars: The Rise of Empire	6686
Victorian Football Association	6687
Victorian Football Association (VFA)	6688
Victorian Football League	6689
Victorian Football League (VFL)	6690
Victorian State League	6691
Victorian state team	6692
Videos for "All Over Again ft. Serena Ryder"	6693
Videos for "You Got Away From Me"	6694
Vienna Musikhochschule	6695
Vienna Philharmonic	6696
Village	6697
Village of the Giants movie	6698
Vilnius	6699
Vince Lombardi	6700
Vince Tobin	6701
Virginia	6702
Virginia Beach	6703
Virginia Bottomley	6704
Virginia Cavaliers	6705
Virginia Cavaliers men's basketball team	6706
Virginia Foster	6707
Virginia Hilda Brunette Maxwell Bottomley	6708
Virginia Lou Foster	6709
Virginia Quinn Newhart	6710
Virginia Sports Hall of Fame	6711
Vitaliano Brancati	6712
Vitaphone Racing in FIA GT Championship	6713
Vitaphone Racing take two team titles	6714
Vogue	6715
Voiceovers	6716
Vorus	6717
Vorwärts Steyr	6718
Votes received by Parti Acadien	6719
Vágur	6720
Véra Korène	6721
W-League	6722
W-League Championship	6723
WACA Ground in Perth	6724
WCAL Player of the Year	6725
WCAL Player of the Year award	6726
WPS Board of Governors	6727
WSM	6728
WVIZ	6729
Waffen-SS	6730
Waikato Bay of Plenty Magic	6731
Waiting for the Moon	6732
Wake Up and Smell the Coffee	6733
Wales	6734
Walt Disney's The Rescuers Down Under	6735
Walt Hazzard	6736
Walter Davis Jr.	6737
Walter Map	6738
Wanchese	6739
War Stories with Oliver North	6740
War of the Austrian Succession	6741
Ward	6742
Warner Music Canada	6743
Warrington Wolves	6744
Wars led by Adamu	6745
Warsaw	6746
Warsaw Conservatory	6747
Warsaw Philharmonic Orchestra	6748
Washington Football Team	6749
Washington Freedom	6750
Washington Redskins special teams	6751
Washington Senators	6752
Washington Senators in 1961	6753
Washington Spirit	6754
Waterstone's Military History Book of the Year	6755
Wayamba United	6756
Wayne Allyn Root	6757
Weekend Vibes	6758
Weight of the nine tripod cauldrons	6759
Welsh	6760
Welsh rock band	6761
Wenger's most effective signing of 2010–11	6762
Wenscutt	6763
Wes Montgomery	6764
Wesleyan ministry in New South Wales	6765
West African ruler	6766
West Australian National Football League	6767
West Bromwich Albion	6768
West Coast	6769
West Coast Conference Freshman of the Year	6770
West Coast Conference Freshman of the Year award	6771
West End	6772
West Germany	6773
West Ham United	6774
West Indies	6775
West Perth	6776
Western Australia	6777
Western Australia team	6778
Western League	6779
Western Pennsylvania Numismatic Society	6780
Western Sydney Wanderers	6781
Western University of Pennsylvania	6782
Westminster Abbey	6783
Westworld	6784
Wheaton College	6785
Whistler Sliding Centre	6786
White Hart Lane	6787
White Oaks Secondary School in Oakville	6788
White Rock	6789
White Rock City Council	6790
Whitesnake	6791
Whitey Kurowski	6792
Whitney Museum of American Art	6793
Wickwar near Wotton-under-Edge	6794
Wide Receiver	6795
Wide Receivers Coach	6796
Widnes Vikings	6797
Wife Swappers	6798
Wigan Athletic	6799
Wigan Warriors	6800
Wilhelm	6801
Wilhelm Windelband	6802
Wilhelm Windelband's disciples	6803
Wilhelm Windelband's interests	6804
Will Oldham	6805
Willesden Technical College	6806
William "Bill" Quinn	6807
William & Mary	6808
William A. "W.A.S." Sarginson	6809
William Allan Neilson	6810
William Bidlake	6811
William Blair	6812
William Burnham	6813
William Dallas Fyfe Brown	6814
William Dean "Willie" Naulls	6815
William Faulkner	6816
William Fox Russell	6817
William Harrison Barnie	6818
William Jennings Bryan	6819
William Jennings Bryan's first running mate in 1896	6820
William John Burke	6821
William John Burke and George Von Elm	6822
William John Burke at 292 after regulation play	6823
William John Burke for 1933 Ryder Cup team selection	6824
William John Jr.	6825
William Luther Pierce III	6826
William Mackinnon	6827
William McKinley and Garret Hobart	6828
William Pitt	6829
William Shakespeare	6830
William Wilberforce	6831
Willie Davis	6832
Willie McClendon	6833
Willie Naulls	6834
Windows kernel	6835
Windows user interface	6836
Winger	6837
Winger live DVD/CD	6838
Winger project	6839
Winnebago Deal	6840
Winnebago Deal in summer 2000	6841
Winnebago Deal members	6842
Winnebago Deal members Ben Perrier and Ben Thomas	6843
Winnipeg	6844
Winter Olympics preparations	6845
Wiscon	6846
Wisconsin Badgers	6847
Wisden	6848
Wisden Cricketer of the Year	6849
Witold Lutosławski	6850
Wizkid	6851
Wolfe may have had the best talent of their generation	6852
Wolverhampton Wanderers	6853
Wolverhampton Wanderers team	6854
Women's Professional Soccer	6855
Wonderful You	6856
Work and Pensions Select Committee	6857
World Championships	6858
World Championships Selection Camp	6859
World Economic Forum	6860
World Economic Forum Global Agenda Council on the Future of Transportation	6861
World Fantasy Award for Best Artist	6862
World Golf Hall of Fame	6863
World Superbike Championship	6864
World War I	6865
World War I until World War II	6866
World War II	6867
World War II Victory Parade	6868
World at War series	6869
Worrell Sterling	6870
Wotton Electric Picture House in Wotton-under-Edge	6871
Wounded man	6872
Writers Guild Award	6873
Wuthering Heights	6874
Wyatt Earp	6875
Wynne Prize	6876
Wynton Marsalis	6877
Xavier Moissinac	6878
Xenocrates	6879
Xiong Lü	6880
Yaakov Israel Ifargan	6881
Yaakov Israel Ifargan is a charlatan	6882
Yale College	6883
Yale University	6884
Yamaha YZF-R1	6885
Yang Yin	6886
Year before Merle Oberon's death	6887
Yola	6888
Yolo Yolo	6889
Yonkers	6890
Yoon Jong-bin	6891
York	6892
York University	6893
York University in Toronto	6894
You Again?	6895
You Can't Go Home Again	6896
Young Bat Masterson role	6897
Younger and Younger	6898
Youth of Trinidad and Tobago	6899
Yves Saint Laurent	6900
Yves St-Denis	6901
Yves Séguin	6902
Yvonne de Gaulle	6903
Z-Cars	6904
Zach Jordan	6905
Zahara	6906
Zeros	6907
Zhuang of Chu	6908
Zhuang of Chu's ministers	6909
Zielona Góra	6910
Zijin	6911
Zimbabwe	6912
Zulu and Victoria's Wars	6913
Zulu: The Heroism and Tragedy of the Zulu War of 1879	6914
Zulu: The True Story	6915
[location missing]	6916
a 24-year-old Palestinian/Jordanian immigrant	6917
a United States Senator	6918
a black pig	6919
a bucket tied to the plane	6920
a burden to all	6921
a candy-striped jersey	6922
a capable ruler	6923
a central part of Christian theology	6924
a central position in Norwegian artistic life of the first half of the 19th century	6925
a collection featuring better-known and up-and-coming musicians in Limerick music scene	6926
a commentary on the Kalachakra Tantra	6927
a contemporary of NOFX	6928
a coup led by the general Hou Jing	6929
a coup led by the general Yuchi Jiong	6930
a couple of recordings as leader	6931
a day after 500 m record	6932
a euphemism for seeking ultimate power in China	6933
a few friends	6934
a few months after first gig	6935
a few shows	6936
a five-song demo	6937
a form of equilibrium	6938
a fourth round pick of the Atlanta Beat	6939
a great patron of the arts	6940
a group of Spanish writers	6941
a group of companions	6942
a handful of singles	6943
a hardcore punk band	6944
a hitman from the Vagos Motorcycle Club	6945
a large number of recordings	6946
a lesser Gilbertine house	6947
a life sentence for the murder of Robert Francis "Bobby" Kennedy	6948
a major figure in the fashion world of the late 1960s and early 1970s	6949
a mix of twelve tracks	6950
a model for further work	6951
a monk of the Gelug school of Tibetan Buddhism	6952
a motorcycle	6953
a novel	6954
a number in the succession of Kings of France	6955
a number of hit singles	6956
a number of seven-inch singles	6957
a one-percenter motorcycle club	6958
a prolific author	6959
a prolific writer	6960
a radio channel dedicated to his music on Aer Lingus flight	6961
a rock music band	6962
a roller coaster in the backyard	6963
a series of reforms	6964
a side project between Aaron Dalbec and Damon Bellardo	6965
a strong and ambitious ruler	6966
a studio album by NOFX	6967
a symbol of the atonement of sins	6968
a symbol of the sacrificial death of Jesus	6969
a symbol of the unity of the Church	6970
a treatise on unification of Tibet and Mongolian regions to the east	6971
a wise ruler	6972
abbot of Drepung Monastery	6973
ability to combine Brazilian rhythms with jazz	6974
ability to combine elements of science fiction and fantasy with traditional storytelling	6975
ability to develop special teams units	6976
ability to develop young players	6977
ability to get the most out of young players	6978
ability to hit for power and average	6979
ability to maintain peace and stability in Chu	6980
ability to shoot from long range	6981
ability to swing the ball both ways	6982
abolition of slavery	6983
about 1883	6984
about 80 or more than 87 aerial victories	6985
about 800 people	6986
abroad	6987
abstract	6988
academic administrator	6989
academic military historian	6990
academic settings	6991
acclaim	6992
accuracy	6993
accurate throwing arm	6994
act	6995
acting career	6996
acting lessons	6997
action film	6998
activist	6999
actor	7000
actor and singer	7001
actress	7002
actress Anna Proclemer	7003
actress Laura San Giacomo	7004
adjective "Panderian"	7005
adjutant	7006
administration chaos	7007
administrative innovations	7008
administrative structure of new state	7009
advertising illustrator	7010
advertising jingles in 1977	7011
advising clubs on transfers and contracts	7012
advising players on their rights	7013
advisor for Arizona Diamondbacks	7014
advocate for homeless	7015
advocate for mentally ill	7016
aeronautical engineering	7017
aeronautical industry	7018
aerospace engineering	7019
aerospace manufacturer	7020
affordable housing	7021
after 1892	7022
after 1951	7023
after 1995 season	7024
after 2007	7025
after Ron Atkinson appointment as director of football	7026
after debut album "Ironiclast"	7027
after his death	7028
after imprisonment period	7029
after making way up from the thirds	7030
after one season	7031
after suspension	7032
after winning 2011 World Series title and 33 seasons as Major League manager	7033
against England	7034
against Lancashire in 1873 season	7035
against West Indies in 1990–91	7036
age 14	7037
age eight	7038
age of seven	7039
agent	7040
aggressive defender	7041
agility	7042
ahead of the 2013 election	7043
air combat against U.S. and Allied air units	7044
air operations in North Africa	7045
air operations in the Mediterranean	7046
airline pilot	7047
album All Together	7048
album Bury the Hatchet	7049
album Stowaway	7050
album Wake Up and Smell the Coffee	7051
alcoholism	7052
alderman on Parramatta City Council	7053
all Alexander the Great's secrets	7054
all GTR consolidated lines	7055
all believers	7056
all gold	7057
all of Alexander the Great's secrets	7058
all school records destroyed in a fire	7059
all vertebrates	7060
all weathers	7061
all-around competition at second camp	7062
all-female punk band	7063
alleged miscarriage of justice	7064
allegedly seeking to provoke others to serious criminal acts	7065
almost 47 years	7066
almost fifty-four years	7067
almost sixty years	7068
almost thirty years	7069
almshouse to Erdington	7070
alone in the chamber with James Blair when Blair shot himself	7071
already white hair	7072
alternate Doctor	7073
alternative rock	7074
altruism	7075
amateur and youth clubs	7076
amateur free agent	7077
an American indie rock band	7078
an American physicist	7079
an American punk rock band	7080
an accessible album that sounds unlike what any other band is doing	7081
an automobile	7082
an emperor of the Chinese dynasty Northern Qi	7083
an outlaw motorcycle club	7084
anarchism	7085
anatomist	7086
anchor on ESPN	7087
anchor on SportsCenter	7088
android	7089
angular sound of previous records	7090
annexation of Chu by other states	7091
annual "George Bovell Dive In Free Swim Clinics"	7092
annual gala event at father's tomb mausoleum	7093
another international appearance	7094
anthropologist	7095
anti-Catholicism	7096
anti-disengagement activism	7097
anti-slavery activist	7098
antipodean-based follow-up to "Smuggler"	7099
antiques shop	7100
any intruders without provocation	7101
any other individual during the Holocaust except diplomats who issued visas	7102
anywhere across the midfield	7103
appear on stage with repertory company	7104
appearances at Oxford's Zodiac Club	7105
apprentice tailor	7106
approximately 1916	7107
approximately 30 years old	7108
approximately 33 years old	7109
architect	7110
architecture	7111
are only two members who never left the band Kansas	7112
aristocracy of the Old South	7113
army	7114
army stores team	7115
around $1.7 million	7116
around 9 million copies worldwide	7117
around the Northeast United States	7118
around the world	7119
around thirty-two	7120
arranger	7121
arranger with United States Army Field Band	7122
arranger/pianist	7123
arrested by military police	7124
art in Norway	7125
articles for magazines	7126
articles for newspapers	7127
artist	7128
artistic dialogue with social issues of our time	7129
artistic gymnast	7130
arts	7131
arts and sciences	7132
as "effeminate and creepy"	7133
as graduate assistant at Edinboro State	7134
as he walked through the kitchen of the Ambassador Hotel	7135
as lead host for NBA coverage	7136
as of 2014	7137
as oldest outfield player	7138
as one of the most influential legal thinkers of modern times	7139
as tribute to William Dallas Fyfe Brown	7140
as vacant fief of the Empire	7141
assistant coach	7142
assistant director	7143
assistant director for Scott Derrickson's short "Love in the Ruins"	7144
assistant to the general manager	7145
associate of Roger Williams	7146
association football	7147
association football player	7148
astronomer	7149
astronomer at Earl's house	7150
astronomy	7151
at Aberdeen	7152
at Dave Grohl's Studio 606	7153
at Leeds United	7154
at Manchester United	7155
at a young age	7156
at age 13	7157
at age 16	7158
at age 19	7159
at an early age	7160
at end of 1993 season	7161
at its prime strength early in Emperor Wenxuan's reign	7162
at least eight identities	7163
at least eighty-eight films	7164
at the Battle of the Coral Sea	7165
at the age of five	7166
at the age of nine	7167
at young age	7168
attempted assassination at Petit-Clamart	7169
attempting to evangelize the Huaorani people	7170
attempting to make contact with Huaorani tribe	7171
attempts to avoid foreclosure	7172
attentiveness to military matters early in reign	7173
attorney	7174
attorney in 1887	7175
audio drama series "Kaldor City"	7176
audio plays by Big Finish Productions	7177
audio tape by a freelance newspaper reporter	7178
austerity policies	7179
author	7180
author of book on access to public transportation	7181
author of numerous chemistry textbooks	7182
autobiography "Family of Four"	7183
autobiography "Time Change"	7184
award of Victoria Cross	7185
bachelor's degree at Fordham University	7186
back to Germany	7187
backbenches	7188
backing vocals	7189
backing vocals for The Beau Brummels	7190
backup catcher	7191
backup singer	7192
bad shoulder injury in 2009	7193
baking	7194
balalaika	7195
balance beam at 2010 CoverGirl Classic	7196
balance beam at 2012 Summer Olympics	7197
ball-playing defender	7198
ball-playing loose forward	7199
ballet "Two Hearts"	7200
ballistic missile development	7201
band fronted by Martina Sorbara	7202
band members focusing on their original bands' new album cycles	7203
band's image	7204
band's most successful period	7205
bands on the local music scene of Limerick	7206
bands turned away by Crass Records	7207
banking sector	7208
banks of the Gauja River	7209
barely eight in first-class cricket	7210
baron	7211
barrister	7212
barrister in 1888	7213
baseball executive	7214
baseball in 1964	7215
basestealer	7216
basketball	7217
basketball player	7218
bass	7219
bass guitar	7220
bass guitar and backing vocals	7221
bass guitarist	7222
bassist	7223
bassist for The Who	7224
bassist of The Beau Brummels	7225
bassist of The Rascals	7226
battery of the Royal Field Artillery	7227
beaches on D-Day	7228
beating of Eden Natan-Zada	7229
became a center of culture and learning	7230
became one of the largest employers in Birmingham	7231
before 16 November 2011	7232
before 1913	7233
before 1990	7234
before 21	7235
before Archie Baird made Aberdeen first team	7236
before European leg of 1987 tour	7237
before Second World War	7238
before athletic scholarships offered	7239
before completing 1893 mayoral term	7240
before end of Second World War	7241
before returning to Isle of Wight	7242
began touring with Marvin Gaye	7243
beginning of 1998	7244
behind Cass Sunstein and Erwin Chemerinsky	7245
being Carlton's first ever Brownlow Medal winner	7246
being all-time leading wicket taker for Western Australia	7247
being generous and friendly	7248
bespoke business became less successful	7249
best in the NFL	7250
best play written by five Pearson Playwrights' Scheme Bursary winners from previous year	7251
best suited to comic roles	7252
bestseller in Poland	7253
between 15 and 21	7254
between 170 and 200	7255
between 1842 and 1864	7256
between 1871 and 1876	7257
between 1891 and 1895	7258
between 1904 and 1914	7259
between 1947 and 1949	7260
between 1957 and 1960	7261
between 1967-1979	7262
between ages 15 and 21	7263
bibliometrics	7264
big	7265
biggest haul in a series since Jim Laker's 46 in 1956	7266
biggest selling UK DVD of all time in January 2009	7267
biggest transport company in Lanao	7268
bike-sharing	7269
biography	7270
biologist	7271
birth of daughter	7272
black armbands	7273
blacksmithing	7274
blatant promotion of opposing points of view on a music channel during flight from Dublin to Boston	7275
blending of hip-hop with sportscasting by Stuart Orlando Scott	7276
blessings and business advice to Israel's prominent businessmen and politicians	7277
blogger	7278
blown engine	7279
blues rock	7280
board member for Amazon	7281
board member for Google	7282
board member for Mental Health Association of Milwaukee	7283
board member for Microsoft	7284
board member of Co-operation Ireland	7285
boarding school	7286
body that governs the party	7287
bold colors	7288
bold patterns	7289
bold prints	7290
bold satire	7291
bold shapes	7292
bond traders	7293
book "Flying Circus of Physics"	7294
book critic	7295
book illustrator	7296
books	7297
books and manuscripts	7298
botanical and medicinal aspects	7299
botanical and socio-historic significance	7300
botanist	7301
botany scholar	7302
both fixtures between Derbyshire and Lancashire 1872	7303
both his parents	7304
both versions of "The Cure for Bad Deeds"	7305
bouzouki	7306
boy soprano lead singer	7307
brain tumour	7308
breach of Parliamentary rules	7309
bridging of major rivers	7310
briefly after May 2010	7311
bright	7312
bright colors	7313
brilliant interpretations	7314
bring in wounded man close to enemy's position	7315
broadcaster	7316
broadcaster for the Los Angeles Lakers	7317
broke 2–2 tie in ninth inning of Game Five	7318
bronze medal at 2015 Pan American Games	7319
bronze medal at World Junior Allround Championships in same season	7320
bronze medal in the 100-metre breaststroke at the 2012 Summer Olympics	7321
brother of Emperor Wenxuan of Northern Qi	7322
brother of John Fitzgerald "Jack" Kennedy	7323
brother of President John F. Kennedy	7324
brothers made a sleeping patio on the roof	7325
brushwork into color woodcuts	7326
building centre	7327
bursary from Pearson Playwrights' Scheme in 1991	7328
bus	7329
bus in Shefa-Amr	7330
bus rapid transit	7331
business	7332
business administration	7333
business at Bucknell	7334
businesses in agriculture industry	7335
businesses in entertainment industry	7336
businesses in food industry	7337
businessman	7338
businessmen	7339
button maker in Birmingham	7340
button-making business	7341
by bouncing into fielder's choice	7342
by over four months	7343
c. 1479–1425 BC	7344
c. 1481	7345
c. 356 BC – 324 BC	7346
cab driver	7347
cabarets of Montmartre	7348
calfskin	7349
call-up to England full national team	7350
came in marathon playoff	7351
campaign for relief of the poor	7352
campaign season for United States presidential election	7353
campaign to abolish the slave trade	7354
cancer	7355
cancerous	7356
capable	7357
capital of Adamu's state	7358
capital of the Faroe Islands	7359
captain of Carlton	7360
captain of a major professional sports team	7361
captain-coach for Preston	7362
captain-coach of an army stores team	7363
captured Nazi war criminal	7364
cardiac arrest	7365
career Army officer	7366
career Navy man	7367
career in modeling	7368
career scientist	7369
careers of many NFL players including Hall of Famers	7370
carpenter	7371
carpentry	7372
carpet-weaver	7373
carpet-weaving	7374
carrom ball	7375
catcher	7376
catchy melodies	7377
celebrities	7378
cemetery of Colombey-les-Deux-Églises	7379
center field	7380
center forward	7381
central government’s policies on culture	7382
central government’s policies on language	7383
centre back	7384
centre half back	7385
centre-back	7386
centres	7387
centrist party	7388
centrist political party	7389
ceramic material	7390
ceramics	7391
chair of the Labour Party	7392
chairman of Physics Department at Cleveland State University	7393
chamber music	7394
chamber works	7395
chancellor	7396
character actor	7397
character actress	7398
character actress of stage	7399
character in Japanese television drama series "Shomuni"	7400
characters who cannot or will not live by their own societies' rules	7401
charges	7402
charges by Mary I of England	7403
charismatic	7404
charitable organization	7405
charitable works	7406
charity events with former Major League players	7407
charming	7408
chemist	7409
chick embryo	7410
chief baseball analyst for Arizona Diamondbacks	7411
chief conceptual designer for Peter Jackson's "The Lord of the Rings" movie trilogy	7412
childhood fireworks accident	7413
childhood osteomyelitis	7414
children	7415
children's book	7416
children's health care in Suðuroy	7417
children's section of Żegota	7418
children's series	7419
choral works	7420
church and charitable donations	7421
church of Saint-Sulpice	7422
churches	7423
cinema	7424
cinematographer	7425
citation analysis	7426
cities around the world	7427
cities in more than 40 countries	7428
city of Tulle	7429
city's corrupt political machine	7430
civil procedure	7431
civil rights	7432
civil rights activist	7433
civil rights movement	7434
civil servant	7435
claims about donation sums not being reported to Israeli tax authorities	7436
classic in the field of anthropology	7437
classic novels	7438
classic research work	7439
classical liberals	7440
classical music	7441
classical piano	7442
clerk	7443
climbing a mountain in Yosemite National Park	7444
climbing certification	7445
clinic in Turin	7446
clinical student of human experience	7447
close to the enemy's position	7448
clubs and bars	7449
co-captain of the Utah State Aggies	7450
co-king rather than king in his own right	7451
co-offensive coordinator at University of Georgia in 2014	7452
co-offensive coordinator at University of South Carolina	7453
co-songwriter of The Cranberries	7454
co-songwriter on some recent tracks with The Cranberries	7455
coach	7456
coach of Detroit Pistons	7457
coach with the most wins in Michigan State school history	7458
coaching Wide Receivers	7459
coal business after politics	7460
collapse of marriage between Louis VII and Eleanor of Aquitaine	7461
collection of New York Public Library	7462
collection of short stories	7463
collections of essays	7464
collections of the Art Gallery of New South Wales	7465
collections of the Museum of Contemporary Art Australia	7466
collections of the National Gallery of Australia	7467
collectivism	7468
college	7469
college basketball coach	7470
colloquial language	7471
colonial administrator	7472
colonial battles and division	7473
colonial history	7474
color woodcuts	7475
colorful and outspoken character	7476
combination of realism and fantasy	7477
combined Minor Counties cricket team	7478
combined university team	7479
comedian	7480
comedienne	7481
comedy film	7482
comedy group 2 Headed Dog	7483
comedy series	7484
coming off substitutes' bench to score late goals	7485
command as General of the South Carolina 5th Militia Brigade	7486
commander of the Canadian Forces in Afghanistan	7487
commander of the Luftwaffe	7488
commentator for Fox Footy	7489
commentator for SEN 1116	7490
commercial pilot for American Airlines	7491
commercial success	7492
competition swimmer	7493
competitive baseball player	7494
complete medical studies	7495
completion of Grand Trunk Pacific Railway	7496
complex rhythms	7497
composer	7498
composition	7499
comprehensive dam-works	7500
computer graphics	7501
computer scientist	7502
computer vision	7503
concept artist for The Elder Scrolls V: Skyrim	7504
concept of alternative education	7505
concept of germ layers	7506
conceptual designer for films	7507
concertos	7508
conchology	7509
conducting	7510
conductor	7511
conductor and composer	7512
conductor of Susan Cahill Brown's Monterey Jazz Festival Chamber Orchestra	7513
conference championship in 2006-07 season	7514
conference championship with Oswego State in 2002-03	7515
conference papers	7516
conferences on Haitian culture	7517
confined to a wheelchair	7518
confrontational style of interviewing	7519
conodonts	7520
consciousness before death	7521
consensus Second-Team All American in 2015	7522
conservative journalist	7523
conservative nationalism	7524
conservative political commentator	7525
considerable coaching tree	7526
considerable practice as physician	7527
console	7528
consolidation of Franco regime	7529
constant state of readiness	7530
construction of Auschwitz III-Monowitz concentration camp	7531
construction of many temples and monasteries	7532
consultant for FBI Academy	7533
consultant for FBI academy and field offices	7534
consultant for FBI field offices	7535
consultation paper on licenses and net neutrality	7536
contact physics	7537
contemporary jazz	7538
continent	7539
continued to write and speak about Communism	7540
continued to write and speak about Soviet Union	7541
continuously since 1998	7542
contracts	7543
contributions to philosophy of technology	7544
contributions to science education over 30 years	7545
control of the principality	7546
controversy	7547
conviction of Stephen Wayne "Shorty" Jamieson	7548
copper-smelting	7549
copyright operations	7550
core curriculum for many Gelugpa monasteries	7551
core of the Windows operating system	7552
corporal	7553
corporate mergers and acquisitions	7554
corruption	7555
councillor on Sunderland City Council	7556
counsellor	7557
coup d'état against government of Prime Minister Nawaz Sharif	7558
courage	7559
courier for Mercury in Western Australia	7560
cousin of Nodar Kumaritashvili on father's side	7561
cover version	7562
cracked skull from a fall	7563
create second transcontinental railroad within Canada	7564
creating roles in hit comedy shows	7565
creating the cult children's TV series	7566
creation of state-wide system of roads and highways	7567
creation of the Poznań Philharmonic	7568
cricket coach	7569
cricket commentator	7570
cricketer	7571
crime thriller	7572
criminal justice reform	7573
critical acclaim	7574
critical and commercial success	7575
critical philosophic system	7576
critically acclaimed	7577
critics	7578
crowd	7579
crowd disturbances in 1972	7580
cruel	7581
cruelty	7582
crumbling	7583
cultural change and conflict	7584
cultural renown abroad	7585
cultural sciences	7586
culture	7587
culture in Norway	7588
current Prime Minister of Singapore	7589
current assistant coach for the Atlanta Hawks	7590
current guitarist of The Cranberries	7591
current line-up of NOFX	7592
current world record holder in multiple events	7593
curriculum at Smith College	7594
custom instruments bearing his name	7595
daily Oriya newspaper	7596
dance	7597
dancer	7598
dances	7599
daring and aggressive riding style	7600
dark and gloomy	7601
daughter of one of the richest Lanao Muslim clans	7602
day following the fall	7603
day of the opening ceremony of the 2010 Winter Olympics	7604
day-labourer	7605
death	7606
death in 1798	7607
death in 621 BC	7608
death of A.P.J. Abdul Kalam	7609
death of John Russell Reynolds	7610
death of Peter Charles Larkin	7611
death of William F. Love	7612
death of her father	7613
debate scholarship	7614
debates	7615
debt	7616
debut studio project	7617
declared void in 1901	7618
decline	7619
decline of Romanticism	7620
dedicated public servant	7621
deep warm tone	7622
defeated by 60-40 margin	7623
defence	7624
defender	7625
defensive backs	7626
defensive end	7627
defensive line	7628
defensive prowess	7629
defensive tenacity	7630
delegate to the Democratic National Convention	7631
delegation to visit Usman dan Fodio	7632
democratic elections	7633
demonstrating the need for African history and historiography as specific genres of world history	7634
denim in men's suits	7635
denims on "Abbey Road" album cover	7636
department store catalogs	7637
depending on various totals cited	7638
deportation of Hungarian Jews to Auschwitz	7639
depression	7640
depression after the war	7641
deserter from Israel Defense Forces	7642
designated successor of Gao Huan	7643
designer	7644
desire to be left alone and willingness to use force	7645
despite having no experience	7646
determined	7647
developing innovative works	7648
development engineer	7649
development of Alberta's natural resources	7650
development of Chinese geology	7651
development of Edmonton Public School Board	7652
development of Polish music in the interwar period	7653
development of ballistic missile technology	7654
development of blood vessels	7655
development of botany in France	7656
development of chick embryos	7657
development of gaming industry	7658
development of higher education in Canada	7659
development of launch vehicle technology	7660
development of modern Quebec nationalism	7661
development of the electron microscope	7662
development of the field of cryogenics	7663
development of the heart	7664
development of the modern liberal arts college	7665
development of the neural tube	7666
development of towns	7667
development of trade	7668
development of weaker sections of society	7669
developmental programmes	7670
diagnosed with mental disorder	7671
did not find much success	7672
died in mine accident	7673
different color and/or pattern per field position	7674
difficult cases of nervous disease	7675
diploma in orchestral conducting	7676
diplomat	7677
diplomatic missions	7678
diplomatic missions abroad	7679
director	7680
director of Maine Central Railroad	7681
director of player personnel	7682
disgruntled office seeker	7683
dispensary to native town	7684
distinguished	7685
district attorney for the judicial district	7686
district level in India	7687
district of Amritsar	7688
division head of UMNO in Kepala Batas	7689
division of Parramatta	7690
documentaries on British television	7691
documentary by Cindy Kleine	7692
documentary films	7693
documentary films by Cindy Kleine	7694
domestic tour	7695
dominant ethnic group in region	7696
dominant in the area at the time	7697
dominant religion in northern Cameroon	7698
doo-wop	7699
doosra	7700
drafting Articles of Confederation	7701
drama	7702
dramatic light	7703
dramatic works	7704
dramatist	7705
drawing	7706
drawings	7707
drug addiction	7708
drug overdose	7709
drug trafficking	7710
drugs and alcohol during April 2012 armed robbery	7711
drum	7712
drum lessons during recovery	7713
drummer	7714
drummer and bass player through an ad	7715
drummer for The Donnas	7716
drummer of Fall Out Boy	7717
drummer/producer/engineer/songwriter/multi-instrumentalist	7718
drumming and performing with The Donnas	7719
drums	7720
dry goods and grocery store	7721
due to "cash for access" allegations	7722
due to allegations of misuse of parliamentary expenses	7723
due to incident in early November	7724
