head	tail	relation
The Catlin Seaview Survey	major scientific expedition	instance of game
The Catlin Seaview Survey	September 2012	start date
The Catlin Seaview Survey	to document the composition and health of coral reefs worldwide	aim of
The Catlin Seaview Survey	to carry out a rapid assessment of the current state of coral reef systems and to make this scientific record publicly available for scientists worldwide to use	aim of
The Catlin Seaview Survey	Catlin Group	sponsor
Catlin Seaview Survey	The Catlin Group	sponsor name
Charice (album)	studio album by Jake Zyrus	instance of game
Charice (album)	release by Jake Zyrus	instance of game
Charice (album)	Reprise Records	publisher
M10 tank destroyer	American tank destroyer of World War II	instance of game
M10 tank destroyer	Tank Destroyer Force	operator for
vehicle with a gun in a fully rotating turret	Army	requested by
prototype of the M10	early 1942	born in
prototype of the M10	April 1942	date
modified version	June 1943	production date
3-inch Gun Motor Carriage M10	modified version	designated as
3-inch Gun Motor Carriage M10	3-inch (76.2 mm) Gun M7	armament
3-inch Gun Motor Carriage M10	a rotating turret	placed by
rotating turret	modified M4A2 Sherman tank chassis	placed by
M10A1	M4A3 Sherman tank	uses chassis
Production of the two models	September 1942	start date
Production of the two models	November 1943	end date
Panther tank	German medium tank	instance of game
Panther tank	World War II	conflict
Panther tank	Eastern Front	military operation in which participated
Panther tank	Western Front	military operation in which participated
Panther tank	mid-1943	chairman start time
Panther tank	1945	end of
Panther tank	Sd.Kfz. 171	official designation
Panzer V Panther	Panther tank	official designation
Adolf Hitler	deletion of Roman numeral "V"	description by creator
Contemporary English language reports	"Mark V"	has specific name
76 mm Gun Motor Carriage M18	M18 Hellcat	official designation
M18 GMC	M18 Hellcat	official designation
M18 Hellcat	American tank destroyer of World War II	instance of game
M18 Hellcat	Italian theatre	military operation in which participated
M18 Hellcat	European theatre	military operation in which participated
M18 Hellcat	Pacific theatre	military operation in which participated
M18 Hellcat	Korean War	military operation in which participated
M18 Hellcat	the fastest American tracked armored vehicle	description
M1 Abrams main battle tank	decades later	subsequent event
M1 Abrams	45 mph	maximum speed
M18 Hellcat	a superior paved-road top operating speed	property change
M18 Hellcat speed	keeping armor to a minimum	achieved by
M18 Hellcat armor	one inch thick	maximum size
M18 Hellcat	roofless	designs
M18 Hellcat	radial engine	power source
radial engine	aircraft usage	original purpose
M18 Hellcat	mobile anti-tank capability	function
M4 Sherman-based M10 tank destroyer	mobile anti-tank capability	function
Gold Dust (song)	DJ Fresh	performer
Gold Dust (song)	2008	publication time
Gold Dust (song)	2010	publication time
Gold Dust (song) (2010 version)	Ce'Cile	is featured in
Gold Dust (song) (Nextlevelism version)	Ms. Dynamite	is featured in
Gold Dust (song)	Kryptonite	is part of album
Gold Dust (song) (2010 version)	24	chart position
Music video for Gold Dust (song)	Ben Newman	director
Music video for Gold Dust (song)	Jacek Zajkowski	editor
Gold Dust (song)	Shy FX	remix of
Shy FX remix of Gold Dust (song)	radio	release date
Shy FX remix of Gold Dust (song)	22	chart position
Shy FX remix of Gold Dust (song)	39	chart position
Gold Dust (song)	Platinum certification	certified with
Gold Dust (song)	never reached top twenty	chart position
"Honey to the Bee"	song	instance of game
"Honey to the Bee"	Billie Piper	performer
"Honey to the Bee"	1999	publication time
"Honey to the Bee"	#3 in the UK Singles Chart	peak time
"Honey to the Bee"	Chris Moyles championing of the song in January 2007	impacted by event
"Honey to the Bee"	number 17 in the UK Singles Chart on 21 January 2007	peak time
"Honey to the Bee"	number 11 in the UK Download Chart	peak time
UK Singles Chart	music chart	instance of game
UK Singles Chart	Official Charts Company	compiler
UK Singles Chart	the best-selling singles of the week in the United Kingdom	calculates
UK Singles Chart since 2004	sales of both physical singles and digital downloads	basis laid by
Joe Baiza	punk rock and jazz guitarist	instance of game
Joe Baiza	Eugene Chadbourne	influence on
Joe Baiza	Southern California punk rock milieu	notable for
Saccharine Trust	Joe Baiza	founder
Universal Congress Of	Joe Baiza	founder
The Mecolodiacs	Joe Baiza	founder
Minutemen	Joe Baiza	contributor to work
Joe Baiza	Greg Ginn	collaboration
Joe Baiza	Chuck Dukowski	collaboration
Joe Baiza	October Faction	member of band
October Faction	SST all-star jam band	instance of game
October Faction	two albums	has made
Joe Baiza	Nastassya Filippovna	member of band
Nastassya Filippovna	Bob Lee	member
Bob Lee	drums	instrument played
Nastassya Filippovna	Devin Sarno	performer
Devin Sarno	bass guitar	instrument played
Nastassya Filippovna	Mike Watt	performer
Mike Watt	bass guitar	instrument played
Nels Cline	Joe Baiza	substitute for
Contemplating the Engine Room	Mike Watt's second solo album	series
Joe Baiza	1997	tour period
Joe Baiza	1998	tour period
Joe Baiza	Solo Career	member of musical group
Nels Cline	Solo Career	member of musical group
Solo Career	Lee	performer
Lee	drums	instrument played
Solo Career	Richard Derrick	performer
Richard Derrick	bass guitar	instrument played
Solo Career	Walter Zooi	performer
Walter Zooi	trumpet	instrument played
Solo Career	Gustavo Aguilar	contributor to work
Gustavo Aguilar	percussion	instrument played
Solo Career	Mario Lalli	contributor to work
Solo Career	Woody Aplanalp	contributor to work
Solo Career	Ken Rosser	contributor to work
Joe Baiza	reunited Saccharine Trust	member of band
Joe Baiza	Unknown Instructors	member of band
Unknown Instructors	improvisational unit	instance of game
Unknown Instructors	Mike Watt	member
Mike Watt	Minutemen	member of band
Unknown Instructors	George Hurley	member
George Hurley	Minutemen	member of band
Von Franco	self-taught American artist	description
Von Franco	Lowbrow art movement	associated with
Carrie Marcus Neiman	American businessperson	occupation
Neiman Marcus	Carrie Marcus Neiman	founder
Neiman Marcus	luxury department store	instance of game
Neiman Marcus	Neiman-Marcus	name
Neiman Marcus	American department store	instance of game
Neiman Marcus	Neiman Marcus Group	owner
Neiman Marcus Group	Bergdorf Goodman department stores	subsidiary
Neiman Marcus Group	Neiman Marcus Direct	subsidiary
Neiman Marcus Direct	direct marketing	activity
Neiman Marcus	Canada Pension Plan Investment Board	owner
Canada Pension Plan Investment Board	Toronto	headquarters location
Neiman Marcus	Ares Management	owner
Ares Management	Los Angeles	headquarters location
Derrill Osborn	Derrill Radcliff Osborn	official name
Derrill Osborn	retired American fashion executive	occupation
Derrill Osborn	pioneers and ranchers	origin
pioneers and ranchers	Portales area	settled in
Derrill Osborn	U.S. Army	military branch served in
Saks Fifth Avenue	Derrill Osborn	employs
Saks Fifth Avenue	New York City	location of
Derrill Osborn	1964	start year of employment
Derrill Osborn	ten years	employment timeline
Derrill Osborn	from a sales person to a buyer	career
Derrill Osborn	men's clothing and antiques boutique	interim manager
men's clothing and antiques boutique	Beverly Hills	location of
Neiman Marcus	Derrill Osborn	employs
Derrill Osborn	buyer	position held
Derrill Osborn	six years	employment timeline
Derrill Osborn	vice-president of men's tailored clothing	appointed position
Derrill Osborn	2002	retirement year
Abraham Lincoln Neiman	Abraham Lincoln "Al" Neiman	official name
Abraham Lincoln Neiman	Jewish orphanage	place of birth
Abraham Lincoln Neiman	Carrie Marcus Neiman	spouse
A. Harris & Company	Abraham Lincoln Neiman	employs
Abraham Lincoln Neiman	Carrie Marcus Neiman	spouse
Abraham Lincoln Neiman	1905	marriage date
Northern Tablelands	North West Slopes	adjacent location
Central West region	North West Slopes	adjacent location
Far West region	North West Slopes	adjacent location
North West Slopes	Australian Bureau of Meteorology's forecast area of "North West Slopes and Plains"	similar to
Far West (New South Wales)	fairly flat and low-lying area	topography
Far West (New South Wales)	western part of the state	location of
Far West (New South Wales)	too dry to support wheat or other crops or intensive pastoral endeavours	former land use
North West Slopes	Far West (New South Wales)	adjacent location
Central West	Far West (New South Wales)	adjacent location
Riverina	Far West (New South Wales)	adjacent location
Far West (New South Wales)	limited rainfall	characteristic
Far West (New South Wales)	Darling River	headwaters
Far West (New South Wales)	Murray River	headwaters
Murray River	Far West (New South Wales)	flows
Murray River	Great Dividing Range	originates in
Great Dividing Range	east	located in region
Far West (New South Wales)	Australian Bureau of Meteorology's forecast areas of "Upper Western" and "Lower Western"	is equivalent to
Far West (New South Wales)	Western Division	is equivalent to
Western Division	New South Wales "Western Lands Act 1901"	established from
West Wyalong	Bland Shire	located in administrative territorial entity
West Wyalong	Central West region of New South Wales	located in administrative territorial entity
West Wyalong	Sydney	distance from
West Wyalong	Newell Highway	route
Newell Highway	Melbourne and Brisbane	connects
West Wyalong	Mid-Western Highway	route
Mid-Western Highway	Sydney and Adelaide	connects
West Wyalong	262 m	elevation
Red Bend Catholic College	Marist Brothers	operator for
Red Bend Catholic College	Forbes	located in the administrative territorial entity
Red Bend Catholic College	1926	scheduled opening date
Red Bend Catholic College	800	number of students
Red Bend Catholic College	Year 7 to Year 12	grade levels
Ungarie	second major town of the Bland Shire	instance of game
Ungarie	Central West region of New South Wales	located in the administrative territorial entity
Ungarie	513 km west	distance from Melbourne
Ungarie	615 km north	distance from Melbourne
Deadfall	American crime drama film	instance of game
Deadfall	Stefan Ruzowitzky	director
Deadfall	Zach Dean	writer
Deadfall	Eric Bana	cast member
Deadfall	Olivia Wilde	cast member
Deadfall	Charlie Hunnam	cast member
Anatomy 2	Anatomie 2	English title
Anatomy 2	German thriller film	instance of game
Anatomy 2	Stefan Ruzowitzky	director
Anatomy 2	Stefan Ruzowitzky	writer
Anatomy 2	Anatomy	has sequel
Anatomy 2	Berlin	setting
Anatomy	Anatomie	English title
Anatomy	German horror film	instance of game
Anatomy	Stefan Ruzowitzky	director
Anatomy 2	2003	publication time
Anatomy	Germany	box office success statement
Anatomy's English-dubbed version	Columbia Pictures	publisher
Devid Striesow	1 October 1973	year of birth
Devid Striesow	Bergen auf Rügen	place of birth
Devid Striesow	German actor	occupation
The Counterfeiters	Devid Striesow	cast member
The Counterfeiters	Stefan Ruzowitzky	director
The Counterfeiters	Academy Award for Best Foreign Language Film for that year	award winner
Stefan Ruzowitzky	25 December 1961	year of birth
Stefan Ruzowitzky	Austrian film director and screenwriter	occupation
Patient Zero	Patient Z	previous name
Patient Zero	British-American fantasy-horror thriller film	genre
Patient Zero	Stefan Ruzowitzky	director
Patient Zero	Mike Le	writer
Patient Zero	Matt Smith	cast member
Patient Zero	Natalie Dormer	cast member
Patient Zero	Stanley Tucci	cast member
Patient Zero	Agyness Deyn	cast member
Patient Zero	Clive Standen	cast member
Patient Zero	London	filmed using
Patient Zero	Screen Gems	publisher
Lilly the Witch: The Dragon and the Magic Book	Hexe Lilli: Der Drache und das magische Buch	original title
Lilly the Witch: The Dragon and the Magic Book	German children's film of 2009	instance of game
Lilly the Witch: The Dragon and the Magic Book	Stefan Ruzowitzky	director
Lilly the Witch: The Dragon and the Magic Book	books by Knister	based on material
Knister	the screenplay	original screenplay author
The Counterfeiters	Die Fälscher	original title
The X Factor (UK series 8)	British television music competition	instance of game
The X Factor (UK series 8)	to find new singing talent	intended purpose
The X Factor (UK series 8)	ITV	television network
The X Factor (UK series 8)	20 August 2011	publication time
The X Factor (UK series 8)	11 December 2011	end date
Little Mix	The X Factor (UK series 8)	award winner
Little Mix	four-piece girl group	instance of game
Little Mix	Rhythmix	stage name
Little Mix	Jesy Nelson	member
Little Mix	Perrie Edwards	member
Little Mix	Leigh-Anne Pinnock	member
Little Mix	Jade Thirlwall	member
Little Mix	first act in the groups category to win in the UK show's history	achievement
Little Mix	Tulisa	mentor
Dermot O'Leary	The X Factor (UK series 8)	host
The Xtra Factor	Caroline Flack	presenter of television program
The Xtra Factor	Olly Murs	presenter of television program
Caroline Flack	Konnie Huq	replaces
Olly Murs	Konnie Huq	replaces
Louis Walsh	the judging panel	member of
Louis Walsh	Gary Barlow	involved person
Louis Walsh	Kelly Rowland	involved person
Louis Walsh	Tulisa	involved person
Gary Barlow	Simon Cowell	replaces
Kelly Rowland	Dannii Minogue	replaces
Tulisa	Cheryl Cole	replaces
Alexandra Burke	week 4 of the live shows	guest
Alexandra Burke	Series 5 winner	instance of game
Kelly Rowland	throat infection	medical condition
Gary Barlow	20 January 1971	year of birth
Gary Barlow	English singer	instance of game
Gary Barlow	songwriter	occupation
Gary Barlow	record producer	occupation
Gary Barlow	Take That	member of band
Gary Barlow	lead vocalist	role
The X Factor UK	Gary Barlow	court
The X Factor UK	2011	chairman start time
The X Factor UK	2013	end of
Let It Shine	Gary Barlow	court
Let It Shine	2017	chairman start time
Gary Barlow	successful songwriter	notable work
A person's first legal name	the name of the person that was given for the purpose of registration of the birth	defined as
A person's first legal name	a birth certificate	is documented on
A person's first legal name	subsequent change	subject to
Legal name	all legal and administrative purposes in most jurisdictions	required for
Name change at marriage	some jurisdictions	authorized by
The legal name	various government issued documents	required in
The legal name	a court order	required in
The term "legal name"	individual name change	used in context of
Name change	a certain legal age	occurs
Certain legal age	eighteen or over	are often
Certain legal age	fourteen in several European nations	is lower for
Ekstra Weekend	Dutch radio broadcast	instance of game
Ekstra Weekend	Dutch public broadcaster NTR	producer
Ekstra Weekend	3FM	broadcast for
Ekstra Weekend	Friday nights	broadcast time
Ekstra Weekend	7 and 10 pm	time at number one
Ekstra Weekend	Gerard Ekdom	host
Ekstra Weekend	Michiel Veenstra	host
Ekstra Weekend	a contraction of the last names of the two hosts	description
Domien Verschuuren	Iemand Anders	alias
Domien Verschuuren	the show	producer of
Tjitse Leemhuis	producer	position held
Eric Corton	Gerard Ekdom	substitute for
Eric Corton	6 May 2011	delimitation date
Eric Corton	the 'voice of 3FM'	known as
Other DJs	either one of the regular DJs	substitute for
Rob Stenders	substitute DJ	occupation
Paul Rabbering	substitute DJ	occupation
Bart Arens	substitute DJ	occupation
Rob Stenders	own show on 3FM	host of
3FM	Paul Rabbering	host
3FM	Bart Arens	host
Tjitse Leemhuis	Tjibbe Tjibsma	alias
Tjitse Leemhuis	the show	contributor to
Kapil Sharma	2 April 1981	year of birth
Kapil Sharma	Kapil Punj	name
Kapil Sharma	Indian stand-up comedian	instance of game
Kapil Sharma	television presenter	instance of game
Kapil Sharma	actor	instance of game
Kapil Sharma	producer	instance of game
Comedy Nights with Kapil	Kapil Sharma	host
Zen Pinball	pinball machine video game series	instance of game
Zen Studios	Zen Pinball	developer
Zen Pinball iOS releases	two separate applications	instance of game
Zen Pinball iOS releases	one table	contains
Zen Pinball for the PlayStation 3	Sony Computer Entertainment	publisher
Zen Pinball for the PlayStation 3	four tables	features
Zen Pinball for the PlayStation 3	six additional tables as downloadable content	features
Zen Pinball for the PlayStation 3	Pinball FX series on the Xbox 360	is equivalent to
Zen Pinball for the PlayStation 3	first pinball game on the PlayStation 3	instance of game
Flow	Thatgamecompany	creator associated with
Flow	enhanced visuals and sound	features
Flow	added multiplayer modes	features
Flow	compatibility with the PlayStation 3's motion sensitive controller	features
Flow	2007	publication time
Flower	Thatgamecompany's second PlayStation 3 game	instance of game
Flower	2009	release date
Journey	Thatgamecompany's third game	instance of game
Sky	Thatgamecompany's fourth game	instance of game
Sky	winter 2017 release	release date
Sky	iOS devices	event time
The Ducks demo	tech demo	instance of game
George Melville Baker	1832	year of birth
George Melville Baker	1890	date of killing
George Melville Baker	playwright	occupation
George Melville Baker	publisher	occupation
George Melville Baker	19th century	time period
Lee & Shepard publishers	George Melville Baker	employer
George M. Baker & Co.	George Melville Baker	founder
George M. Baker & Co.	Henry M. Baker	publisher of
George M. Baker & Co.	F.E. Chase	publisher of
George M. Baker & Co.	Herbert Pelham Curtis	publisher of
George M. Baker & Co.	1885	dissolved on date
Walter H. Baker & Co.	George M. Baker & Co.	successor of
Walter H. Baker & Co.	George Melville Baker's brother	owned by
George Baker	Henry C. Barnabee	collaboration
George Baker	lyceum entertainments	participant in
Lyceum Theatres	New England	location of
George Baker	Mercantile Library Association	member of
George Melville Baker	Emily Bowles	spouse
George Melville Baker	1858	age at marriage
George Melville Baker	Emilie Loring	child of
George Melville Baker	Rachel Baker Gale	child of
George Melville Baker	Robert Melville Baker	child of
Elizabeth Melville	poet	instance of game
Robert Melville (car designer)	British car designer	instance of game
Robert Melville (car designer)	Design Director	position held
McLaren Automotive	Robert Melville (car designer)	employs
Jaguar Land Rover	Robert Melville (car designer)	employed
General Motors	Robert Melville (car designer)	employed
Robert Melville Smith	deputy minister	instance of game
Ontario Department of Highways	Robert Melville Smith	minister during term
Ontario Department of Highways	Ministry of Transportation	replaces
Robert Melville Smith	1931 and 1943	term of service
Robert Melville Smith	Thomas McQuesten	worked for
Robert Melville Smith	bringing the concept of the freeway from Germany to Canada	notable work
construction of the Queen Elizabeth Way	bringing the concept of the freeway from Germany to Canada	resulted from
Queen Elizabeth Way	divided road	instance of game
Robert Melville (art critic)	31 December 1905	year of birth
North Atlantic Deep Water	deep water mass	instance of game
North Atlantic Deep Water	North Atlantic Ocean	origin
Thermohaline circulation of the world's oceans	flow of warm surface waters from the southern hemisphere into the North Atlantic	involved
Water flowing northward	evaporation and mixing with other water masses	modification
Water flowing northward	increased salinity	causes
Water	North Atlantic	reaches
Water	convection	flows into
Convection	decreased temperature and increased salinity	caused by
Increased density	decreased temperature and increased salinity	often results in
NADW	outflow of this thick deep layer	instance of game
NADW	high salinity	determined by
NADW	high oxygen content	determined by
NADW	nutrient minima	determined by
NADW	chlorofluorocarbons (CFCs)	determined by
Chlorofluorocarbons (CFCs)	anthropogenic substances	instance of game
Surface of the ocean	CFCs	received goods from
CFCs entering surface of the ocean	Gas exchange with the atmosphere	origin
Distinct composition of North Atlantic Deep Water	Path tracing	enables
Path of North Atlantic Deep Water	Circumpolar Deep Water (CDW)	combines
Circumpolar Deep Water (CDW)	Deep Indian Ocean	flows into
Circumpolar Deep Water (CDW)	Part of the South Pacific	flows into
Atlantic Meridional Overturning Circulation (AMOC)	North Atlantic Deep Water and its formation	involved
Atlantic Meridional Overturning Circulation (AMOC)	Large amounts of water	transports
Atlantic Meridional Overturning Circulation (AMOC)	Heat	transports
Atlantic Meridional Overturning Circulation (AMOC)	Salt	transports
Atlantic Meridional Overturning Circulation (AMOC)	Carbon	transports
Atlantic Meridional Overturning Circulation (AMOC)	Nutrients	transports
Atlantic Meridional Overturning Circulation (AMOC)	Other substances	transports
Transporting substances	Tropical Atlantic	origin
Transporting substances	Mid and High Latitude Atlantic	directed by
Sinking of NADW	waters of the North Atlantic drift	causes
Waters of the North Atlantic drift	northward	moves in direction
Sinking of NADW	conveyor belt model of thermohaline circulation of the world's oceans	part of
Conveyor belt model	thermohaline circulation of the world's oceans	is described as
Sinking of NADW	actual relationship between NADW formation and the strength of the Gulf Stream/North Atlantic drift	is an oversimplification of
Greenland Sea	Greenland	borders
Greenland Sea	Greenland to the west	borders
Greenland Sea	Svalbard archipelago to the east	borders
Greenland Sea	Fram Strait and the Arctic Ocean to the north	borders
Greenland Sea	Norwegian Sea and Iceland to the south	borders
Greenland Sea	Arctic Ocean	is located
Greenland Sea	Atlantic Ocean	is sometimes located in
Rudolph F. Rosatti	Rudy Rosatti	name
Rudy Rosatti	Rudy	alias
Rudy Rosatti	Rosy	alias
Rudolph F. Rosatti	American football player	occupation
Rudolph F. Rosatti	Norway in Michigan's Upper Peninsula	origin
Rudolph F. Rosatti	North Dakota State University	educated at
Rudolph F. Rosatti	Western Michigan University	educated at
Rudolph F. Rosatti	University of Michigan	educated at
Michigan Wolverines football team	Rudolph F. Rosatti	participant in sport
Cleveland Indians	Rudolph F. Rosatti	member of sports league
Green Bay Packers	Rudolph F. Rosatti	member of sports league
New York Giants	Rudolph F. Rosatti	member of sports league
Rudolph F. Rosatti	1923 to 1928	period of professional football
Michigan State Highway Department	Rudolph F. Rosatti	employer
Rudolph F. Rosatti	32 years	duration of employment
Rudolph F. Rosatti	1933 to 1965	time period of work
Rudolph F. Rosatti	chief of highway maintenance for the western half of the Upper Peninsula	position held
James Contratta	Rudolph F. Rosatti	killed by
Shooting incident	December 1933	date
Shooting incident	rifle	armament
Coroner's inquest	accidental	finding
Rudolph F. Rosatti	coroner determined the shooting to have been accidental	releasing
Rudolph F. Rosatti	1975	date of killing
Rudolph F. Rosatti	79	age range
Lyle Rockenbach	Lyle James Rockenbach	name
Lyle Rockenbach	Rocky	nickname derived from
Lyle James Rockenbach	American football player	occupation
Lyle James Rockenbach	Michigan State College	educated at
Lyle James Rockenbach	1937 to 1939	sports season length
Michigan State University	Michigan State College	name
Lyle James Rockenbach	three punts blocked in a single game against Temple in 1937	achievement
Paul Kelly	Australian rock musician	instance of game
Paul Kelly	1974	chairman start time
Paul Kelly	solo artist	occupation
Paul Kelly	bands	member of
Paul Kelly	bands named after himself	political leader
Professor Ratbaggy	backing bands	recorded under alternate name
Stardust Five	backing bands	recorded under alternate name
Professor Ratbaggy	Paul Kelly	member
Stardust Five	Paul Kelly	member
Paul Kelly's current band members as of June 2013	Bree Van Reyk	includes
Bree Van Reyk	drums	plays instrument
Paul Kelly's current band members as of June 2013	Zoe Hauptmann	includes
Zoe Hauptmann	bass guitar/backing vocals	plays instrument
Paul Kelly's current band members as of June 2013	Dan Kelly	includes
Dan Kelly	lead guitar/backing vocals	plays instrument
J. Walker	Paul Kelly's current band members as of June 2013	member of band
J. Walker	guitar	plays instrument
Emo	genre of rock music	instance of game
Emo	emphasis on emotional expression	determined by
Emo	confessional lyrics	determined by
Emo	post-hardcore	subgenre of
Emo	emotional hardcore	has alternative name
Emo	emocore	has alternative name
Emo sound and meaning	early 1990s	period of time described by
Emo	indie rock	subgenre of
Emo	pop punk	subgenre of
Jawbreaker	Emo reinvented by bands	member of band
Sunny Day Real Estate	Emo reinvented by bands	member of band
Weezer	Emo reinvented by bands	member of band
Jimmy Eat World	Emo reinvented by bands	member of band
Braid	Emo	genre
The Promise Ring	Emo	genre
The Get Up Kids	Emo	genre
Emo	independent record labels	genre
Screamo	more aggressive style of emo	subgenre of
Screamo	San Diego bands	pioneered by
Heroin	San Diego bands	founder
Antioch Arrow	San Diego bands	founder
Science Fiction	literary genre	applies to
definition of science fiction	contested question	is
Sam Waterston	Samuel Atkinson Waterston	alias
Sam Waterston	Sydney Schanberg in The Killing Fields	notable work
Sydney Schanberg in The Killing Fields	Academy Award	award nomination
Sam Waterston	Jack McCoy	role played
Jack McCoy	Law & Order	series
Sam Waterston	Golden Globe and Screen Actors Guild Awards	award winner
Sam Waterston	Golden Globe award	award nomination
Sam Waterston	Screen Actors Guild award	award nomination
Sam Waterston	BAFTA award	award nomination
Sam Waterston	Emmy award	award nomination
Sam Waterston	over eighty	number of film appearances
Sam Waterston	fifty years	career length
Sam Waterston	numerous	number of film appearances
Screen Actors Guild Life Achievement Award	Screen Actors Guild's National Honors and Tributes Committee	awarded by
Screen Actors Guild Life Achievement Award	outstanding achievement in fostering the finest ideals of the acting profession.	cause
The 1st Screen Actors Guild Awards	Screen Actors Guild Life Achievement Award	earliest date
Screen Actors Guild Life Achievement Award	1962	inception
Screen Actors Guild Life Achievement Award	1964	year of award
Screen Actors Guild Life Achievement Award	1981	year of award
Suzanne "Crazy Eyes" Warren	fictional character	instance of game
Suzanne "Crazy Eyes" Warren	Uzo Aduba	creator associated with
Suzanne "Crazy Eyes" Warren	Orange Is the New Black	part of the work
Suzanne "Crazy Eyes" Warren	intelligent	character concept
Suzanne "Crazy Eyes" Warren	lacking in social skills	character concept
Suzanne "Crazy Eyes" Warren	prone to spiral into emotional outbursts when agitated	character concept
Suzanne "Crazy Eyes" Warren	Emmy Award recognition both in the comedy and drama genres from the same show	achievement
Suzanne "Crazy Eyes" Warren	second character to earn Emmy recognition in both genres	achievement
Emmy Award for Outstanding Guest Actress in a Comedy Series for season one performance	Uzo Aduba	award received by
Critics' Choice Television Award for Best Guest Performer in a Comedy Series for season one performance	Uzo Aduba	award received by
Emmy Award for Outstanding Supporting Actress in a Drama Series for season two performance	Uzo Aduba	award received by
Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Comedy Series for season two performance	Uzo Aduba	recipient
Jaycen Joshua	audio engineer	instance of game
Larrabee Sound Studios	Jaycen Joshua	operator for
Jaycen Joshua	2006	chairman start time
The Penua Project	Dave Pensado	co-founder
The Penua Project	Jaycen Joshua	founder
Jaycen Joshua	multiple Grammy Awards	award winner
Single Ladies (Put a Ring on It)	Jaycen Joshua	audio engineer
Single Ladies (Put a Ring on It)	Beyoncé	performer
Blame It	Jaycen Joshua	audio engineer
Blame It	Jamie Foxx	performer
Jaycen Joshua	over 60	number of charted singles
Mariah Carey	Jaycen Joshua	collaboration
Justin Timberlake	Jaycen Joshua	collaboration
Sean Combs	Jaycen Joshua	collaboration
Jay-Z	Jaycen Joshua	collaboration
Chris Brown	Jaycen Joshua	contributor to work of
Miley Cyrus	Jaycen Joshua	contributor to work of
Christina Aguilera	Jaycen Joshua	contributor to work of
Mary J. Blige	Jaycen Joshua	contributor to work of
Rihanna	Jaycen Joshua	contributor to work of
R. Kelly	Jaycen Joshua	contributor to work of
Celine Dion	Jaycen Joshua	contributor to work of
Jennifer Lopez	Jaycen Joshua	contributor to work of
T.I.	Jaycen Joshua	contributor to work of
Usher	Jaycen Joshua	contributor to work of
Michael Jackson	Jaycen Joshua	contributor to work of
Nicki Minaj	Jaycen Joshua	contributor to work of
Katy Perry	Jaycen Joshua	contributor to work of
Snoop Dogg	Jaycen Joshua	contributor to work of
Justin Bieber	Jaycen Joshua	contributor to work of
Seal	Jaycen Joshua	contributor to work
Nas	Jaycen Joshua	contributor to work
Whitney Houston	Jaycen Joshua	contributor to work
Terry Ross	Joe Jackson (musician)	manager
Joe Jackson (musician)	David Ian Jackson	name
Joe Jackson (musician)	11 August 1954	year of birth
Joe Jackson (musician)	English musician	occupation
Joe Jackson (musician)	singer-songwriter	occupation
Joe Jackson (musician)	"Is She Really Going Out with Him?"	first release
"Is She Really Going Out with Him?"	1979	publication time
Joe Jackson (musician)	jazz-inflected pop music	musical style
Joe Jackson (musician)	1982	year of chart success
Joe Jackson (musician)	"Steppin' Out"	song by
Joe Jackson (musician)	classical music	genre
Joe Jackson (musician)	19	number of albums released
Joe Jackson (musician)	5 Grammy Award nominations	has earned award nomination
The Plague Dogs	adult animated epic adventure thriller film	instance of game
The Plague Dogs	1982	publication time
The Plague Dogs	The Plague Dogs (novel)	is based on
The Plague Dogs	Martin Rosen	writer
The Plague Dogs	Martin Rosen	director
The Plague Dogs	Martin Rosen	producer
Watership Down	Martin Rosen	director
The Plague Dogs	Nepenthe Productions	producer
The Plague Dogs	Embassy Pictures	supplier
The Plague Dogs	United Artists	supplier
The Plague Dogs	PG-13	MPAA rating
The Plague Dogs	heavy animal cruelty themes	rating
The Plague Dogs	violent imagery	rating
The Plague Dogs	emotionally distressing scenes	rating
The Plague Dogs	the second non-family oriented MGM animated film	description
The Castle of Cagliostro	The Plague Dogs	follows
The Lion King	1994 American animated epic musical film	instance of game
The Lion King	Walt Disney Feature Animation	production
The Lion King	Walt Disney Pictures	supplier
The Lion King	32nd Disney animated feature film	series
The Lion King	fifth animated film produced during the Disney Renaissance	series
The Lion King	Roger Allers	director
The Lion King	Rob Minkoff	director
The Lion King	Don Hahn	producer
The Lion King	Irene Mecchi	original screenplay author
The Lion King	Jonathan Roberts	original screenplay author
The Lion King	Linda Woolverton	original screenplay author
The Lion King	Elton John	lyricist
The Lion King	Tim Rice	lyricist
The Lion King	Hans Zimmer	composer
The Lion King	Matthew Broderick	cast member
The Lion King	James Earl Jones	cast member
The Lion King	Jeremy Irons	cast member
The Lion King	Jonathan Taylor Thomas	cast member
The Lion King	Moira Kelly	cast member
The Lion King	Nathan Lane	cast member
The Lion King	Ernie Sabella	cast member
The Lion King	Rowan Atkinson	cast member
The Lion King	Robert Guillaume	cast member
The Lion King	Madge Sinclair	cast member
The Lion King	Whoopi Goldberg	cast member
The Lion King	Cheech Marin	cast member
The Lion King	Jim Cummings	cast member
The Lion King	a kingdom of lions in Africa	setting
The Lion King	Hamlet	influenced by work
Kayla McBride	American professional basketball player	instance of game
San Antonio Stars	Kayla McBride	member of sports team
San Antonio Stars	Women's National Basketball Association (WNBA)	league
San Antonio Silver Stars	Kayla McBride	drafted by
San Antonio Silver Stars	2014 WNBA draft	draft position
Kayla McBride	shooting guard	position
