head	tail	relation
“Diyaar e Shab”	Abbasin Arts Council Award	award received during
Saeed Ahmad Akhtar	12 Urdu poetry collections	number of novels published
Saeed Ahmad Akhtar	one English poetry collection	number of novels published
Saeed Ahmad Akhtar	many plays for Pakistan television	creator of
Saeed Ahmad Akhtar	many documentaries for Pakistan television	creator of
Saeed Ahmad Akhtar	many plays for Radio Pakistan	creator of
Saeed Ahmad Akhtar	many documentaries for Radio Pakistan	creator of
Amish Tripathi	18 October 1974	date of birth
Amish Tripathi	Indian author	instance of
Amish Tripathi	The Immortals of Meluha	notable work
Amish Tripathi	The Secret of the Nagas	notable work
Amish Tripathi	The Oath of the Vayuputras	notable work
Amish Tripathi	Scion of Ikshvaku	notable work
Amish Tripathi	""	known for work
Ram Chandra Series	Scion of Ikshvaku	has part of
The Shiva Trilogy	fastest selling book series in Indian publishing history	notable
Scion of Ikshvaku	fastest selling book of 2015	notable
Sarah Ban Breathnach	Bon Brannock	pronunciation
Sarah Ban Breathnach	best-selling author	instance of
Sarah Ban Breathnach	philanthropist	instance of
Sarah Ban Breathnach	public speaker	instance of
Sarah Ban Breathnach	thirteen books	author of work
Glen Post	Glen F. Post III	full name of
CenturyLink	Glen Post	chief executive officer
CenturyLink	S&P 500 integrated communications service provider	instance of
Glen Post	bachelor's degree in accounting	field of work
Glen Post	1974	year of graduation
Louisiana Tech University	bachelor's degree in accounting	award received during
Glen Post	MBA	field of work
Glen Post	1976	year of graduation
Louisiana Tech University	MBA	award received during
CenturyTel	Glen Post	founder of
Glen Post	1976	date of employment start
Glen Post	vice president	position held from
Glen Post	1982	date of employment start
Glen Post	senior vice president and treasurer	position held from
Glen Post	1984	date of employment start
CenturyTel	Glen Post	board member of
Glen Post	1985	position start time
Glen Post	senior vice president and chief financial officer	position held from
Glen Post	1986	position start time
Glen Post	executive vice president and chief operating officer	position held from
Glen Post	1988	position start time
CenturyTel	Glen Post	chief executive officer
Glen Post	1990	position start time
Glen Post	1992	position start time
Glen Post	chairman of the board and chief executive officer	position held from
Glen Post	2002	position start time
CenturyLink	Glen Post	chief executive officer
Glen Post	2009	position start time
Glen Post	Louisiana Tech College of Administration and Business Distinguished Alumni	award received during
Louisiana Tech College of Administration and Business Distinguished Alumni	1991	award received during
Louisiana Tech University Tower Medallion Award	Glen Post	award received during
Louisiana Tech University Tower Medallion Award	1997	award date
DeGree Enterprises Lifetime Achievement Award in Business	Glen Post	award received during
DeGree Enterprises Lifetime Achievement Award in Business	2003	award date
Stephen M. Wolf	Stephen Wolf	is an alias
Stephen Wolf	1941	date of birth
R. R. Donnelley & Sons Company	Stephen Wolf	chief executive officer
Stephen Wolf	March 2004	start time
Trilantic Capital Partners	Stephen Wolf	chairperson
City Hunter (film)	Hong Kong action comedy film	instance of
City Hunter (film)	Wong Jing	director
City Hunter (film)	Jackie Chan	cast member
City Hunter (film)	Joey Wong	cast member
City Hunter (film)	Kumiko Goto	cast member
City Hunter (film)	Chingmy Yau	cast member
City Hunter (film)	Japanese manga of the same name	is based on
City Hunter (film)	14 January 1993	date of publication
City Hunter (film)	Fight Back to School III	released as
Rob-B-Hood	Robin-B-Hood	alternative name
Rob-B-Hood	Baby Project	alternative name
Rob-B-Hood	Hong Kong action comedy film	instance of
Rob-B-Hood	Jackie Chan	cast member
Rob-B-Hood	Louis Koo	cast member
Rob-B-Hood	Yuen Biao	cast member
Rob-B-Hood	Michael Hui	cast member
Rob-B-Hood	HK$130 million	cost
Rob-B-Hood	US$16.8 million	cost
Rob-B-Hood	December 2005 to January 2006	filming location
Rob-B-Hood	first film in over 30 years in which Jackie Chan plays an anti-hero	notes
Police Story 2	Jackie Chan's Police Story 2	alternative name
Police Story 2	Hong Kong action film of 1988	instance of
Police Story 2	Jackie Chan (as Chan Ka-kui)	character role
Police Story 2	Chan Ka-kui	sequel of
Mr. Nice Guy	Hong Kong action film of 1997	instance of
Mr. Nice Guy	Sammo Hung	director
Mr. Nice Guy	Sammo Hung (as an unfortunate cyclist)	film appearance
Mr. Nice Guy	Jackie Chan	cast member
Mr. Nice Guy	Richard Norton	cast member
Jackie Chan Hill	Jackie Chan Village	alternative name
The Friendship Village of Indonesia-China	Jackie Chan	established as
Jackie Chan Hill	Jackie Chan	is named after
The Friendship Village of Indonesia-China	Jackie Chan	source of funding
Hong Kong Red Cross	Jackie Chan	candidacy
A Captive in the Land	Пленник земли	name in original language
A Captive in the Land	Plennik zemli	name in original language
A Captive in the Land	1990 Soviet–American survival drama film	instance of
A Captive in the Land	John Berry	director
A Captive in the Land	John Berry	writer
A Captive in the Land	Lee Gold	writer
A Captive in the Land	novel of the same name by James Aldridge	literary work
A Captive in the Land	Sam Waterston	cast member
A Captive in the Land	Aleksandr Potapov	cast member
A Captive in the Land	Keir Giles	cast member
Captain Phillips (film)	2013 American biographical survival thriller film	instance of
Captain Phillips (film)	Paul Greengrass	director
Captain Phillips (film)	Tom Hanks	cast member
Captain Phillips (film)	Barkhad Abdi	cast member
Captain Phillips (film)	true story of the 2009 "Maersk Alabama" hijacking	event associated with
2009 Maersk Alabama hijacking	Richard Phillips	participant
Richard Phillips	Hostage by pirates	subject is
Richard Phillips	Indian Ocean	location of event
Pirates	Abduwali Muse	leader of
Wild (2014 film)	American biographical survival drama film	instance of
Wild (2014 film)	Jean-Marc Vallée	director
Wild (2014 film)	Nick Hornby	writer of screenplay for
Wild (2014 film)	Cheryl Strayed's 2012 memoir	is based on
Wild (2014 film)	Reese Witherspoon	cast member
Reese Witherspoon	Cheryl Strayed	role
Wild (2014 film)	Reese Witherspoon	cast member
Wild (2014 film)	Laura Dern	cast member
Laura Dern	Cheryl Strayed's mother	role
Wild (2014 film)	Thomas Sadoski	cast member
Wild (2014 film)	Michiel Huisman	cast member
Wild (2014 film)	Telluride Film Festival	premiere
Wild (2014 film)	North America	region of release
127 Hours	biographical survival found footage drama film	instance of
127 Hours	Danny Boyle	director
127 Hours	Danny Boyle	writer of screenplay for
127 Hours	Danny Boyle	executive producer
127 Hours	James Franco	cast member
James Franco	Aron Ralston	role
Aron Ralston	canyoneer	occupation
Aron Ralston	trapped by a boulder	narrative style
Guy Siner	Guy Domville Siner	surname
Guy Siner	16 October 1947	date of birth
Guy Siner	American-born English actor	occupation
Guy Siner	Lieutenant Hubert Gruber	role
'Allo 'Allo!	Lieutenant Hubert Gruber	left role in series
Nicholas Frankau	16 July 1954	date of birth
Nicholas Frankau	English actor	occupation
Nicholas Frankau	Flt. Lt. Carstairs	role
'Allo 'Allo!	Flt. Lt. Carstairs	left role in series
'Allo 'Allo!	failure to get back to Britain	themes
Richard Gibson	1 January 1954	date of birth
Richard Gibson	English actor	occupation
Richard Gibson	Herr Otto Flick	role
Herr Otto Flick	archetypal Gestapo Officer	type
'Allo 'Allo!	Herr Otto Flick	left role in series
'Allo 'Allo!	BBC hit sitcom series	instance of
Paris (1994 TV series)	British sitcom	instance of
Paris (1994 TV series)	Talkback Productions	executive producer
Paris (1994 TV series)	Channel 4	role in production
Paris (1994 TV series)	Arthur Mathews and Graham Linehan	writer
Father Ted	Arthur Mathews and Graham Linehan	creator of
Paris (1994 TV series)	one series	series
Paris (1994 TV series)	six episodes	episode number
Paris (1994 TV series)	October and November 1994	date of broadcast
Paris (1994 TV series)	Alain Degout	protagonist in
Alain Degout	French artist	instance of
Alain Degout	1920s Paris	setting of
Alain Degout	famous	aspires to be
Paris (1994 TV series)	English accent	language of
'Allo 'Allo!	France	setting of
'Allo 'Allo!	French accents	language of
Ken Morley	17 January 1943	date of birth
Ken Morley	English actor and comedian	occupation
Reg Holdsworth	Ken Morley	character relation
Reg Holdsworth	Coronation Street	fictional character in
Reg Holdsworth	1989 to 1995	portrayal is of
General Leopold von Flockenstuffen	Ken Morley	character relation
General Leopold von Flockenstuffen	'Allo 'Allo!	fictional character in
General Leopold von Flockenstuffen	1988 to 1991	portrayal is of
Roger Kitter	20 October 1949	date of birth
Ashley Rolfe	United States Air Force female fighter pilot	instance of
Ashley Rolfe	McDonnell Douglas F-15 Eagle	qualified for
Ashley Rolfe	Massachusetts Air National Guard	member of
Ashley Rolfe	104th Fighter Wing	history of
Ashley Rolfe	the first female fighter pilot in the wing’s 70-year history	is a description of
Ashley Rolfe	67th Fighter Squadron at Kadena	served as
Kadena	Ashley Rolfe’s first duty assignment	were
Ashley Rolfe	67th Fighter Squadron as the only female F-15 pilot	history of
Ashley Rolfe	the only female fighter pilot participating in Exercise Commando Sling in 2010	is a description of
Ashley Rolfe	Air Force TV News "One of a Kind"	not found in
Quentin C. Aanenson	World War II veteran fighter pilot	instance of
Quentin C. Aanenson	391st Fighter Squadron	captain of
391st Fighter Squadron	366th Fighter Group	is part of
366th Fighter Group	9th Air Force	is part of
9th Air Force	U.S. Army Air Corps	is part of
P-47 Thunderbolt	Quentin C. Aanenson	operator
P-47 Thunderbolt	Normandy D-Day invasion	participated in
P-47 Thunderbolt	subsequent European campaign	participated in
Hermann Wilhelm Göring	Hermann Wilhelm Göring	official name
Hermann Wilhelm Göring	Goering	is an alias
Hermann Wilhelm Göring	12 January 1893	date of birth
Hermann Wilhelm Göring	15 October 1946	date of death
Hermann Wilhelm Göring	a German political and military leader	is a description of
Hermann Wilhelm Göring	one of the most powerful figures in the Nazi Party (NSDAP)	position held from
Nazi Party (NSDAP)	Germany from 1933 to 1945	time period of
Hermann Wilhelm Göring	veteran World War I fighter pilot ace	occupation
Hermann Wilhelm Göring	Pour le Mérite	award received during
Hermann Wilhelm Göring	Jagdgeschwader 1	commanded
Jagdgeschwader 1	Manfred von Richthofen	founder of
Ayesha Farooq	Flight Lieutenant Ayesha Farooq	official name
Ayesha Farooq	Pakistani fighter pilot	instance of
Ayesha Farooq	Bahawalpur	location of origin
Ayesha Farooq	the first female to become fighter pilot in Pakistan Air Force	is a description of
Olaf Guthfrithson	Óláfr Guðrøðsson	original name
Olaf Guthfrithson	Amlaíb mac Gofraid	original name
Olaf Guthfrithson	941	date of death
Olaf Guthfrithson	Viking leader	occupation
Dublin	Olaf Guthfrithson	ruled
Viking Northumbria	Olaf Guthfrithson	ruled
Olaf Guthfrithson	10th century	time period of
Olaf Guthfrithson	Gofraid ua Ímair	father
Olaf Guthfrithson	Ímar	great-grandchild of
Olaf Guthfrithson	Uí Ímair	member of
Olaf Guthfrithson	934	date of succession
Vikings of Limerick	Olaf Guthfrithson	dominates
Olaf Guthfrithson	Amlaíb Cenncairech	captured
Olaf Guthfrithson	937	date of reevaluation
Olaf Guthfrithson	Constantine II of Scotland	partner
Kingdom of Northumbria	927	end of appearance
English led by Æthelstan	Forces of Olaf and Constantine	defeated opponent
Constantine the Great	Flavius Valerius Aurelius Constantinus Augustus	official name
Constantine the Great	Κωνσταντῖνος ὁ Μέγας	official name
Constantine the Great	27 February 272 AD	date of birth
Constantine the Great	22 May 337 AD	date of death
Constantine the Great	Constantine I	is an alias
Constantine the Great	Saint Constantine	is an alias
Constantine the Great	Roman Empire	position held from
Constantine the Great	Illyrian-Greek	ethnic group
Constantine the Great	306 AD	start time
Constantine the Great	337 AD	end of appearance
Constantine the Great	Flavius Valerius Constantius	father
Flavius Valerius Constantius	Roman Army officer	occupation
Constantine the Great	Helena	father
Flavius Valerius Constantius	Caesar	position held from
Constantine the Great	east	known for work
Constantine the Great	military tribune	position held from
Constantine the Great	Diocletian	subordinate
Constantine the Great	Galerius	subordinate
Constantius	305	end of appearance
Constantine the Great	west	known for work
William Wallace Atterbury	brigadier general in the United States Army	occupation
William Wallace Atterbury	World War I	military unit
Pennsylvania Railroad (PRR)	William Wallace Atterbury	founded
William Wallace Atterbury	1886	date of start
Pennsylvania Railroad	William Wallace Atterbury	chief executive officer
William Wallace Atterbury	1925–1935	term of office
William Wallace Atterbury	director-general of transportation in France	role in World War I
William Wallace Atterbury	Yale University	educated at
William Wallace Atterbury	reorganizing railroad traffic for more efficient transportation of troops and supplies for the American Expeditionary Forces	instrumental contributor
William Wallace Atterbury	The Railroad General	nickname given by
Pennsylvania Railroad	$250 million project to electrify major portions of its main line	part of the military operation
William Wallace Atterbury	company's first M1-class steam locomotive	part of development by
Miss Albany Diner	Lil's Diner	has formerly been known as
Miss Albany Diner	historic diner	instance of
Miss Albany Diner	1941	date of construction
Miss Albany Diner	893 Broadway	located on street or area
893 Broadway	one of the oldest streets in Albany	is a description of
Ironweed (film)	Miss Albany Diner	filming location
Ironweed (film)	Jack Nicholson	cast member
Ironweed (film)	Meryl Streep	cast member
Miss Albany Diner	2000	listed on the National Register of Historic Places in
Ironweed (film)	American drama film	instance of
Ironweed (film)	1987	date of publication
Ironweed (film)	Héctor Babenco	director
Ironweed (film)	Pulitzer Prize-winning novel of the same name by William Kennedy	is based on
William Kennedy	screenplay for Ironweed	writer of screenplay for
Ironweed (film)	Jack Nicholson	cast member
Ironweed (film)	Meryl Streep	cast member
Ironweed (film)	Carroll Baker	cast member
Ironweed (film)	Michael O'Keefe	cast member
Ironweed (film)	Diane Venora	cast member
Ironweed (film)	Fred Gwynne	cast member
Ironweed (film)	Nathan Lane	cast member
Ironweed (film)	Tom Waits	cast member
Ironweed (film)	relationship of a homeless couple	subject is
Francis	alcoholic	instance of
Oowekyala dialect	Ooweekeeno	alternative name
Oowekyala dialect	Wuikyala	alternative name
Oowekyala dialect	Heiltsuk-Oowekyala	language of
Heiltsuk-Oowekyala	Northern Wakashan language	instance of
Heiltsuk-Oowekyala	Rivers Inlet	location in
Heiltsuk-Oowekyala	Owikeno Lake	location in
Heiltsuk-Oowekyala	Central Coast region of the Canadian province of British Columbia	location of origin
Heiltsuk-Oowekyala	Wuikinuxv	language of
Wuikinuxv Nation	Wuikinuxv	ruled
Heythrop Park	Grade II* listed early 18th-century country house	instance of
Heythrop Park	1 mi southeast of Heythrop in Oxfordshire	location in
Heythrop Park	Thomas Archer	architect
Thomas Archer	architect	instance of
Heythrop Park	Baroque style	architectural style
original interior of Heythrop Park	1831	destroyed by
Heythrop Park	Jesuit tertiary education college	has has part or has part
Heythrop Park	training establishment	has has part or has part
Boeremag	group of men	instance of
Boeremag	treason	conviction for
Boeremag	extremist South African right-wing militia	is described as
extremist South African right-wing militia	white separatist aims	scored goal
Boeremag	planning to overthrow the ruling African National Congress government	defendant
Boeremag	planning to reinstate a new Boer-administered republic	defendant
new Boer-administered republic	era when Boers administered independent republics during the 19th century	is similar to
era when Boers administered independent republics	Great Trek	followed by
Pavilion Mountain	mountain	instance of
Pavilion Mountain	Marble Range	part of the administrative territorial entity
Pavilion Mountain	Pavilion	located north of
Pavilion	ranching and First Nations community	instance of
Pavilion Mountain	Marble Canyon	located north of
Pavilion Mountain	Kelly Lake	located north of
Kelly Lake	Downing Provincial Park	is part of
Pavilion Mountain	historic ranch and associated rangeland	alternative name
historic ranch and associated rangeland	"bench" on the mountain's southwestern side	is located on
Pavilion Mountain	road	alternative name
road	benchland on the mountain's southwestern side	traversed
Socrates	classical Greek philosopher	instance of
Socrates	founder of Western philosophy	instance of
Socrates	accounts of classical writers	is attributed to
Socrates	writings of Plato	is attributed to
Socrates	plays of Aristophanes	is attributed to
Plato's dialogues	Socrates	source of information
Ran Geng	courtesy name Boniu	known as
Ran Geng	prominent disciple of Confucius	instance of
Confucius	Ran Geng	student
Ran Geng	Yan Hui	ranked
Ran Geng	Min Sun	ranked
Ran Geng	moral conduct	notable
Samfälligheten för Nordisk Sed	Swedish religious organisation	instance of
Samfälligheten för Nordisk Sed	Germanic Neopaganism	adheres to
Samfälligheten för Nordisk Sed	"Folktro" approach to Germanic Neopaganism	advocates for
Samfälligheten för Nordisk Sed	1996	establishment time
Samfälligheten för Nordisk Sed	a network of independent kindreds	is a description of
Samfälligheten för Nordisk Sed	1997	establishment time
Samfälligheten	the former state church	model
Red River Meeting House	first religious camp meeting in the United States	notable event related to
First religious camp meeting in the United States	Second Great Awakening	began
Second Great Awakening	major religious movement in the United States	instance of
Second Great Awakening	first part of the nineteenth century	time period of
The meeting	Presbyterian minister James McGready	collected by
James McGready	M'Gready	has alternative spelling
The meeting	several preachers	involved with
Voice of Prophecy	Seventh-day Adventist religious radio ministry	instance of
Voice of Prophecy	1929	date of broadcast
Voice of Prophecy	a single radio station in Los Angeles	location of broadcast
Voice of Prophecy	numerous stations throughout the United States and Canada	scale
Voice of Prophecy	one of the first religious programs in the United States to broadcast nationally	inception
Voice of Prophecy	Shawn Boonstra	founder of
Voice of Prophecy	Jean Boonstra	founder of
Voice of Prophecy	additional forms of media	expanded from
Voice of Prophecy	the weekly Disclosure broadcast	expanded from
Elias Smith	17 June 1769	date of birth
Wild boar	wild swine	is an alias
Wild boar	Eurasian wild pig	is an alias
Wild boar	Suidae	instance of
Wild boar	much of Eurasia	native of
Wild boar	North Africa	native of
Wild boar	the Greater Sunda Islands	native of
Wild boar distribution	Human intervention	was affected by
Wild boar	one of the widest-ranging mammals in the world	statement describing
Wild boar	the most widely spread suiform	statement describing
Wild boar	least concern by the IUCN	conservation status
Wild boar	invasive species in part of its introduced range	conservation status
Wild boar	Southeast Asia	location of origin
Wild boar	Early Pleistocene	start time
Wild boar	other suid species	outcompeted by
Wild boar	the Old World	spread
Sana gurban	Azerbaijani musical composition	instance of
Sana gurban	Alekper Taghiyev	composer
Sana gurban	Mikayil Mushfig	lyricist
Sana gurban	1968	date of publication
Sana gurban	Zeynab Khanlarova	performer
Zeynab Khanlarova	prominent Soviet and Azerbaijani singer	occupation
Zeynab Khanlarova	People's Artist of the USSR	award received during
Zeynab Khanlarova	People's Artist of the Azerbaijan SSR	award received during
Zeynab Khanlarova	People's Artist of the Armenian SSR	award received during
Zeynab Khanlarova	People's Artist of the Uzbek SSR	award received during
Zeynab Khanlarova	a big fame	characteristic
Songs performed by Zeynab Khanlarova	widely spread	characteristic
Songs performed by Zeynab Khanlarova	their release dates	distribution
Sana gurban	Turkey	location of origin
Sana gurban	the Arab world	distribution location
Sana gurban	Greece	distribution location
Apostolic Christian Church (Nazarene)	Christian denomination	instance of
Apostolic Christian Church (Nazarene)	Anabaptist movement	movement
Apostolic Christian Church (Nazarene)	the early 1900s	inception
Apostolic Christian Church (Nazarene)	Apostolic Christian Church of America	derived from
Nazarene faith	widely spread across the globe	distribution location
Nazarene faith	Western Europe	official language in
Nazarene faith	Central Europe	official language in
Nazarene faith	Eastern Europe	official language in
Nazarene faith	North America	official language in
Nazarene faith	Africa	official language in
Nazarene faith	Israel	official language in
Nazarene faith	Oceania	official language in
Apostolic Christian Church (Nazarene)	Church of the Nazarene	is confused with
Apostolic Christian Church (Nazarene)	Pentecostal Apostolic Church	is confused with
Pervez Hoodbhoy	Pakistani nuclear physicist	instance of
Pervez Hoodbhoy	mathematician	instance of
Pervez Hoodbhoy	activist	instance of
Pervez Hoodbhoy	11 July 1950	date of birth
Pervez Hoodbhoy	distinguished professor at the Forman Christian College	position held from
Pervez Hoodbhoy	Quaid-e-Azam University	employer
Pervez Hoodbhoy	prominent activist	instance of
Pervez Hoodbhoy	freedom of speech	advocates for
Pervez Hoodbhoy	secularism	advocates for
Pervez Hoodbhoy	education in Pakistan	advocates for
Charles William Forman	Presbyterian minister	instance of
Charles William Forman	missionary	instance of
Forman Christian College	Charles William Forman	founder of
Charles William Forman	1821 and 1894	date of death
Jahangir Khan Tareen	Pakistani politician	instance of
Jahangir Khan Tareen	businessman	occupation
Jahangir Khan Tareen	4 July 1953	date of birth
National Assembly of Pakistan	Jahangir Khan Tareen	member of
Pakistan Tehreek-e-Insaf (PTI)	Jahangir Khan Tareen	secretary of
Jahangir Khan Tareen	Comilla	place of birth
Jahangir Khan Tareen	University of North Carolina	educated at
Jahangir Khan Tareen	lecturer	occupation
Jahangir Khan Tareen	banker	occupation
Caliber International College	institution of higher education	instance of
Caliber International College	2006	establishment time
Caliber International College	Arun Yadav	founder of
Caliber International College	first group of colleges in Rajbiraj to receive academic accreditation from the Purbanchal University	accreditation
Caliber International College	10+2 level courses	offers
Caliber International College	Bachelor level courses	offers
Caliber International College	Bachelor in Business Administration (BBA) stream under Purbanchal University	offers academic program
Forman Christian College	independent research liberal arts university	instance of
Forman Christian College	1864	date of founding
Forman Christian College	Presbyterian Church	ruled
Forman Christian College	American-style curriculum	academic discipline
Salman Humayun	public policy expert	instance of
Salman Humayun	managing technical assistance programs	field of work
Salman Humayun	designing technical assistance programs	field of work
Salman Humayun	delivering technical assistance programs	field of work
Oliver Lavigilante	Mauritian boxer	occupation
Oliver Lavigilante	Men's flyweight at the 2012 Summer Olympics	competed in
Duke Micah	Oliver Lavigilante	defeated opponent
Shafiq Chitou	23 May 1985	date of birth
Shafiq Chitou	Beninese boxer	occupation
Shafiq Chitou	boxing at the 2012 Summer Olympics	competed in
Shafiq Chitou	house painter	occupation
Félix Verdejo	Shafiq Chitou	defeated opponent
Shafiq Chitou	Men's lightweight event at the 2012 Summer Olympics	event occurred
Ilyas Abbadi	21 October 1992	date of birth
Ilyas Abbadi	Médéa	place of birth
Ilyas Abbadi	Algerian boxer	occupation
Ilyas Abbadi	Men's welterweight at the 2012 Summer Olympics	competed in
Ilyas Abbadi	2012 Summer Olympics	eliminated
Ilyas Abbadi	men's middleweight division at the 2016 Summer Olympics in Rio de Janeiro	competed in
Zhanibek Alimkhanuly	Ilyas Abbadi	defeated opponent
Yann Siccardi	Monégasque Olympic judoka	instance of
Yann Siccardi	Men's 60 kg category	sport level
Yann Siccardi	2008 Summer Olympics	event participated in
Yann Siccardi	2012 Summer Olympics	event participated in
Craig Fallon	Yann Siccardi	defeated opponent
Arsen Galstyan	Yann Siccardi	defeated opponent
Yann Siccardi	60 kg and under category at the 2011 Games of the Small States of Europe	silver medal winner
Yann Siccardi	2016 Summer Olympics	event participated in
Yann Siccardi	Monaco	is commemorated by
Iran	Islamic Republic of Iran	official name
Iran	2012 Summer Olympics in London	event participated in
2012 Summer Olympics in London	27 July 2012	date of start
Iran	Summer Olympic games since 1948	event participated in
Iran	1980 Summer Olympics	event participated in
1984 Summer Olympics	Iran	country represented
National Olympic Committee of the Islamic Republic of Iran	nation's second-largest delegation to the Games	recipient
Iran's delegation at 2012 Summer Olympics	53 athletes	number of athletes
2008 Allan Cup	2008 edition of the Canadian National Championship of Senior ice hockey	instance of
2008 Allan Cup	100th year that the Allan Cup has been awarded	is commemorated by
2008 tournament	Brantford Blast of the Ontario Hockey Association's Major League Hockey	location of event
1915 Allan Cup	Canadian national senior ice hockey championship for the 1914-15 season	instance of
Melville Millionaires	title	won by
Melville Millionaires	their league	defending champion of
Melville Millionaires	two challenge wins	achieved
Winnipeg Monarchs	Melville Millionaires	defeated opponent
1915 playoff	eighth time the Allan Cup had a champion	is commemorated by
1918 Allan Cup	Canadian national senior ice hockey championship for the 1917-18 Senior season	instance of
final challenge	Kitchener Greenshirts	location of event
1918 playoff	11th time the Allan Cup had a champion	is commemorated by
1918 Allan Cup	final time the Allan Cup would be awarded through a challenge series	date of event
Warroad Lakers	American Senior ice hockey team	instance of
Warroad Lakers	various Manitoba AHA and Thunder Bay AHA senior and intermediate leagues	competed in
Warroad Lakers	Canadian Amateur Hockey Association	status during
Warroad Lakers	three-time Allan Cup Canadian National Champions	instance of
Warroad Lakers	one-time Allan Cup National Finalists	instance of
Warroad Lakers	one-time Hardy Cup Canadian National Champions	instance of
Warroad Lakers	one-time Hardy Cup National Finalists	instance of
Toronto National Sea Fleas	senior men's amateur ice hockey team	instance of
1932 Allan Cup	Toronto National Sea Fleas	won prize
Toronto National Sea Fleas	Canada at the 1933 World Ice Hockey Championships	is represented by
Toronto National Sea Fleas	United States in overtime	lost in final of
Toronto National Sea Fleas	silver medal for Canada	captured
Trail Smoke Eaters (senior)	Trail Hockey Club	named
Trail Smoke Eaters (senior)	senior level men's ice hockey team	instance of
Trail Smoke Eaters (senior)	1926 to 1987	year of
Trail Smoke Eaters (senior)	one of the best senior hockey teams in Canadian history	recognized as
Allan Cup	Trail Smoke Eaters (senior)	won prize
Jessi Klein	American comedy writer	instance of
Jessi Klein	stand-up comic	instance of
Jessi Klein	New York City	residence
Jessi Klein	The Showbiz Show with David Spade	cast member
Jessi Klein	VH1's Best Week Ever	cast member
Comedy Central's Premium Blend	Jessi Klein	performer
CNN	Jessi Klein during the debates of the 2004 presidential election	commentary on
Jessi Klein	geek	meets quality standard
Jessi Klein	My Coolest Years: Geeks on VH1	cast member
Jessi Klein	Rise of the Geeks on E!	cast member
Scott Jacobson	American comedy writer	instance of
Scott Jacobson	1977	date of birth
The Daily Show with Jon Stewart	Scott Jacobson	winner of award
Bob's Burgers	Scott Jacobson	winner of award
The Academy Awards	Scott Jacobson	contributor to
Robert Smigel's "TV Funhouse" cartoons	Scott Jacobson	contributor to
Squidbillies	Scott Jacobson	contributor to
Bob's Burgers	Scott Jacobson	contributor to
Hollywood Chick-fil-A	Scott Jacobson	employee or former employee of
North Carolina	Scott Jacobson	location of origin
North Carolina School of Science and Mathematics	Scott Jacobson	educated at
University of North Carolina in Chapel Hill	Scott Jacobson	educated at
Scott Jacobson	Animal Husbandry	studied with
National High School Rodeo Association rodeos	Scott Jacobson	participant
Scott Jacobson	goat tying	event participated in
Scott Jacobson	team roping	event participated in
Hal Block	Harold Block	is an alias
Hal Block	American comedy writer	occupation
Hal Block	comedian	occupation
Hal Block	producer	occupation
Hal Block	songwriter	occupation
Hal Block	television personality	occupation
Hal Block	15 years	time period of work
Hal Block	What's My Line?	notable work
What's My Line?	Hal Block	creator of
Hal Block	What's My Line?	end date of
Hal Block	inappropriate on-air behavior	reason for leaving
Hal Block	controversial figure in the history of television	characteristic
Google Chrome Frame	a plug-in designed for Internet Explorer	is a description of
Google Chrome Frame	Chromium project	is based on
Google Chrome Frame	September 2010	date of release
Google Chrome Frame	February 2014	date of death
Google Chrome Frame	no longer supported	status
Operating System/Virtual Storage 1	IBM System/370 hardware	runs on
Operating System/Virtual Storage 1	Multiprogramming with a Fixed number of Tasks (MFT) option of System/360's operating system OS/360	successor of
Operating System/Virtual Storage 1	virtual memory	features
virtual memory	"virtual storage"	is an alias
Operating System/Virtual Storage 1	1970s and 1980s	operating period
Operating System/Virtual Storage 1	no longer supported by IBM	status during
blink element	non-standard HTML element	instance of
blink element	indicates to a user agent that the page author intends the content of the element to blink	provides functionality for
blink element	Netscape Navigator	introduced
blink element	no longer supported	status
Blink element	often ignored by any modern Web browser	characteristic
Internet Explorer	Blink element	supported
Te Ngahere o Woodhill	Auckland	relative location to
Te Ngahere o Woodhill	New Zealand	part of the administrative territorial entity
Woodhill Forest	Muriwai in the South	geographical coverage end point
Woodhill Forest	South Head in the North	geographical coverage end point
Woodhill Forest	a popular location for a number of recreation activities	uses
Woodhill Forest	horse riding	recreational activity
Woodhill Forest	4WD and trail biking	recreational activity
Woodhill Forest	mountain biking	recreational activity
Woodhill Forest	walking	recreational activity
Woodhill Forest	dog walking	recreational activity
Woodhill Forest	tree climbing adventures	recreational activity
Woodhill Forest	orienteering	recreational activity
Woodhill Forest	filming	recreational activity
Woodhill Forest	recreation activities	is required
walking or dog walking	no longer supported by the owners	status
Woodhill Forest	sand based pine forest	instance of
Woodhill Forest	all weather trails and recreation	provides service to
Two Dots	puzzle video game	instance of
Two Dots	iOS	platform
Two Dots	Android	platform
Two Dots (Windows 10 Mobile)	no longer supported	status
Two Dots (Microsoft Windows)	no longer supported	status
Testosterone phenylpropionate	testosterone phenpropionate	is an alias
Testosterone phenylpropionate	testosterone hydrocinnamate	is an alias
Testosterone phenylpropionate	synthetic anabolic-androgenic steroid	instance of
Testosterone phenylpropionate	androgen ester	instance of
Testosterone phenylpropionate	the C17β phenylpropionate ester of testosterone	is a description of
Testosterone phenylpropionate	Romania	marketed as
Testosterone phenylpropionate	1955	first published in
Testosterone phenylpropionate	several isolated AAS commercial products	ingredient
Testosterone phenylpropionate	never widely used	status
